8/11 18:44:45.464  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1
8/11 18:44:52.302  SPELL_AURA_APPLIED,Player-1080-08A43B67,"Dairybelle-Bloodhoof",0x548,0x0,Player-1080-08A43B67,"Dairybelle-Bloodhoof",0x548,0x0,227723,"Mana Divining Stone",0x1,BUFF
8/11 18:44:52.534  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,195798,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:52.634  SWING_DAMAGE_LANDED,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,195020,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,778,1133,-1,1,0,0,0,nil,nil,nil
8/11 18:44:52.634  SPELL_CAST_START,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,251091,"Order Bombardment",0x1
8/11 18:44:52.634  SPELL_AURA_APPLIED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,222409,"Dark Command",0x1,DEBUFF
8/11 18:44:52.801  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,194929,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,90,89,-1,32,0,0,0,nil,nil,nil
8/11 18:44:53.502  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,194781,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,148,215,-1,1,0,0,0,nil,nil,nil
8/11 18:44:53.634  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,194702,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:53.834  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,194521,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,181,89,-1,32,0,0,0,1,nil,nil
8/11 18:44:53.934  SPELL_DAMAGE,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,222418,"Heart Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,194333,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,187,272,-1,1,0,0,0,nil,nil,nil
8/11 18:44:53.934  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,206930,"Heart Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,193915,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,418,608,-1,1,0,0,0,nil,nil,nil
8/11 18:44:54.068  SPELL_PERIODIC_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,55078,"Blood Plague",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,193757,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,157,155,-1,32,0,0,0,nil,nil,nil
8/11 18:44:54.701  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,193679,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:54.801  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,193589,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,89,89,-1,32,0,0,0,nil,nil,nil
8/11 18:44:55.136  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,193292,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,297,215,-1,1,0,0,0,1,nil,nil
8/11 18:44:55.136  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,206930,"Heart Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,192873,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,418,608,-1,1,0,0,0,nil,nil,nil
8/11 18:44:55.201  SPELL_CAST_SUCCESS,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,251091,"Order Bombardment",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,192873,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110
8/11 18:44:55.468  SWING_DAMAGE_LANDED,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,192146,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,727,1061,-1,1,0,0,0,nil,nil,nil
8/11 18:44:55.468  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F2096,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,191990,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,156,112,-1,1,0,0,0,1,nil,nil
8/11 18:44:55.734  SPELL_AURA_REMOVED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,222409,"Dark Command",0x1,DEBUFF
8/11 18:44:55.734  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,52212,"Death and Decay",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,191808,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,181,89,-1,32,0,0,0,1,nil,nil
8/11 18:44:55.834  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,191729,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:56.301  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,195182,"Marrowrend",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,190432,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,1297,944,-1,1,0,0,0,1,nil,nil
8/11 18:44:56.534  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F2096,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,190276,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,156,112,-1,1,0,0,0,1,nil,nil
